Date,User_ID,Location,Text
2020-04-06,OccupySchagen,Schagen The Netherlands,"#Occupy: How #COVID19 spread through the US.
It undermines the criticisms of Trump's decision to close the borders, while confirming that the delays in testing greatly contributed to the spread.

via Zero Hedge
-&gt;https://t.co/1o2onk3LXm"
2020-04-06,Ben_deVos1,Cheltenham,"Anybody else who tweets something like this will be removed from Twitter. Must be embarrassing for most Americans to have leadership like this. Thinks he's king of the world 🤢 🤮
#TrumpVirus #COVID19 #COVIDIDIOTS https://t.co/Y85NXUcdrI"
2020-04-06,fredericbiziere,"Ile-de-France, France","The #Covid19 crisis hasn't hit #chemicals as hard as other sectors, but sales are still likely to drop in 2020. Find out why in Euler Hermes' latest sector risk report. https://t.co/43s2Tlb8RD https://t.co/uHEbXEgpQt"
2020-04-06,thevocalchamber,"London, England","How long had he known? NIH &amp; NIAID since 1984 right? 
@DrButtar
 https://t.co/Ok0AEAzW45
#TheMoreYouKnow #COVID19 #Covid19UK #QAnons"
2020-04-06,cppluxury,London,"U.K. launches “Good To Go” Safety-Compliant labelled businesses

https://t.co/ewGDgAgapT 

#UK #safety #compliance #VisitEngland #VisitScotland #GoodToGo #security #protection #Covid19 #coronavirus https://t.co/wBBbBwEtfM"
2020-04-06,CEspeath,Planet Earth,"Protect your life, protect your loved ones, protect your community. #COVID19 https://t.co/AhiabWkdvB"
2020-04-06,jackzimmerman,"Paris, France","COVID-19 impacts Chinese telcos resulting in 3.7% decline in 2020 revenues; #covid19, #china, #telecom, #5G https://t.co/JrL6CtiH9f"
2020-04-06,AmpersandThe,"London, England","Listen to ""Clap For Carers &amp; NHS Staff Unsung Heroes (COVID 19) 🦠 Ep 37  podcast https://t.co/nJtLNyAZ5n #coronavirusuk #COVID19 #keyworkers #BAME #clapforNHS #clapforourcarers #ppeshortages #lockdownuk #StayAtHomeSaveLives #BorisJohnson  #WashYourHands #Covid19usa #TrumpVirus"
2020-04-06,CFlutsch,"Oxford, England","The theatre, art, dance and music are collapsing around us.....but don’t worry, Boris has a big, shiny plane....

#theatre #plane #painting #paint #COVID19 #Covid19UK #coronavirus https://t.co/hUmOT3kqqW"
2020-04-06,Colin_CWilliams,"Sheffield, England","Swedes rapidly losing trust in Covid-19 strategy, poll finds #COVID19 #Covid19   https://t.co/CCBAvRXt4r"
2020-04-06,GoodfellaMedia,"London, UK","BOXING EXCLUSIVE NEWS: Legendary boxer Roberto Duran has tested positive for COVID19. 
#boxing #mma #news #sports #sport #wrestling #legend #icon #Legendary #health #coronavirus #COVID19 #COVID_19 https://t.co/udJnkd0OxX"
2020-04-06,SlaveryExperts,London,"Alarming increase in #ChildMarriage in #Syria. Early marriage spikes due to #COVID19 in report, 'Stolen Future: War and Child Marriage' as households are driven to new depths of desperation #Conflict #ChildRights #WomensRights https://t.co/nYgaVpF6oT"
